image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/51z4RmV6nrL.jpg,278850,height,56.0 millimetre
https://m.media-amazon.com/images/I/61BVtiD9AXL.jpg,607488,height,70.0 centimetre
https://m.media-amazon.com/images/I/514XI-VM2RL.jpg,436746,height,12.2 centimetre
https://m.media-amazon.com/images/I/51vQ83znjGL.jpg,470067,height,410.0 millimetre
https://m.media-amazon.com/images/I/51gdlpI1R+L.jpg,731252,height,12.5 centimetre
https://m.media-amazon.com/images/I/410r9EKBrWL.jpg,452717,height,6.0 inch
https://m.media-amazon.com/images/I/411g7KJU6aL.jpg,658003,height,44.0 centimetre
https://m.media-amazon.com/images/I/51w-Sw1+olL.jpg,776058,height,3.2 centimetre
https://m.media-amazon.com/images/I/51B8aQhuh4L.jpg,442321,height,75.0 centimetre
https://m.media-amazon.com/images/I/617ZaRGm3yL.jpg,180726,height,20.0 millimetre
https://m.media-amazon.com/images/I/51XgPsE35AL.jpg,113134,height,7.5 centimetre
https://m.media-amazon.com/images/I/51apMnptkBL.jpg,558806,height,1.57 inch
https://m.media-amazon.com/images/I/61A0J4NduvL.jpg,846116,height,5.3 inch
https://m.media-amazon.com/images/I/51FYL7SCiGL.jpg,416664,height,9.64 inch
https://m.media-amazon.com/images/I/51zAZ44OIXL.jpg,625310,height,7.0 inch
https://m.media-amazon.com/images/I/51kYiTpImBL.jpg,776058,height,2.0 inch
https://m.media-amazon.com/images/I/51qS8eG5eyS.jpg,276611,height,58.0 centimetre
https://m.media-amazon.com/images/I/51AvUc+5u7L.jpg,347404,height,3.5 centimetre
https://m.media-amazon.com/images/I/611aAGJVZ7L.jpg,416664,height,6.9 inch
https://m.media-amazon.com/images/I/41iBgQAWxTL.jpg,826444,height,71.5 millimetre
https://m.media-amazon.com/images/I/51mEgED67OL.jpg,810266,height,2.0 inch
https://m.media-amazon.com/images/I/51KOO2rX7TL.jpg,693845,height,25.0 inch
https://m.media-amazon.com/images/I/51lq5M-U3jS.jpg,496169,height,55.12 inch
https://m.media-amazon.com/images/I/51mflWBw7pL.jpg,478357,height,29.5 inch
https://m.media-amazon.com/images/I/61-HDD2XSEL.jpg,507467,height,3.62 inch
https://m.media-amazon.com/images/I/51ze3Jrb6KL.jpg,550595,height,9.0 inch
https://m.media-amazon.com/images/I/611VC8pviBL.jpg,625310,height,70.0 millimetre
https://m.media-amazon.com/images/I/61+ejKeNJEL.jpg,866516,height,5.0 centimetre
https://m.media-amazon.com/images/I/51ZGiB8EfpL.jpg,417434,height,28.0 inch
https://m.media-amazon.com/images/I/514XRavurhL.jpg,292475,height,5.9 inch
https://m.media-amazon.com/images/I/41sxkW9MQTL.jpg,416664,height,19.6 inch
https://m.media-amazon.com/images/I/617BSqJ+amL.jpg,911321,height,4.5 centimetre
https://m.media-amazon.com/images/I/51IG9IjlEEL.jpg,597647,height,100.0 millimetre
